SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1759223391.439782, 1.074548, 7.013963, 1.291821, -1.489694, 0.124146, -0.100106, -68.707855, -6.256073, -155.989243
1759223391.460693, -0.010774, 8.394969, 0.901866, -1.547001, -0.152619, -0.109606, -69.143799, -4.937607, -155.805283
1759223391.480697, 0.092177, 9.182960, -0.079757, -1.584409, -0.396475, 0.263373, -68.935394, -3.984344, -155.173965
1759223391.500692, -0.293290, 8.839841, 0.056114, -1.626398, -0.198710, 0.598182, -69.143326, -2.854019, -153.956451
1759223391.520313, -0.656610, 8.188469, -0.347608, -1.582913, 0.256336, 0.480395, -68.792282, -1.259720, -153.577240
1759223391.540723, 0.401777, 8.627206, 0.197222, -1.535509, 0.409428, 0.160358, -68.454102, -0.083115, -152.454346
1759223391.560695, 1.947085, 9.727043, 0.393098, -1.532538, 0.059953, 0.268940, -68.298279, 0.827713, -152.552536
1759223391.580693, 2.547131, 10.145579, -0.009427, -1.522577, -0.295808, 0.409609, -68.315277, 1.758743, -151.504181
1759223391.600682, 3.065775, 10.090363, -0.736367, -1.616183, -0.367352, 0.376659, -68.019440, 3.996887, -149.600189
1759223391.619810, 2.412906, 10.865186, -4.042610, -1.765760, -0.392816, 0.430634, -68.274139, 4.427521, -149.468399
1759223391.640692, 0.495300, 11.163265, -4.496760, -1.090362, -1.125993, 0.470655, -68.777054, 5.770660, -148.576279
1759223391.659932, -0.280720, 11.374403, -4.164265, -0.232740, -1.330944, 0.469873, -69.158600, 5.803955, -148.588654
1759223391.680621, -1.240795, 11.107150, -3.517980, 0.209909, -0.525684, 0.357990, -69.393219, 6.283966, -148.202606
1759223391.700690, -1.802684, 11.314698, -2.812439, 0.518403, -0.154902, 0.156288, -69.465576, 5.230789, -148.470383
1759223391.720246, -2.490269, 11.676821, -3.553444, 1.170440, -0.794051, -0.263275, -70.085678, 4.525436, -148.844223
1759223391.740692, -2.801216, 13.887267, -0.280870, 1.980100, -0.747578, -0.896098, -71.266922, 3.033325, -150.691528
1759223391.760699, -2.090138, 15.896601, 2.893991, 2.332613, 0.875298, -1.454340, -71.320450, 0.964615, -152.133377
