SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1759224929.107300, -0.196624, 13.396007, -0.342371, -2.124043, -1.715148, -0.257356, -23.487686, -12.371292, -93.449081
1759224929.127346, 1.354819, 1.521515, 8.003816, -2.964209, -1.916339, 0.241058, -22.283798, -13.825027, -94.191483
1759224929.147012, 4.162469, 3.715053, 3.410989, -2.511031, -2.630790, 1.374225, -21.367661, -15.603806, -95.114349
1759224929.167288, 19.422811, 21.043536, 5.809530, -0.915972, -2.251456, 2.978292, -20.028259, -18.388184, -96.445221
1759224929.187282, 7.151331, 18.597111, -0.928202, 0.154284, 0.339367, 0.201615, -19.542877, -19.243423, -96.607544
1759224929.207298, 2.918382, 4.045902, 4.521001, -0.691203, 0.684492, 0.353812, -19.981293, -19.547607, -96.078278
1759224929.227277, 14.960618, 7.558046, 0.643891, -1.097657, 0.601189, 1.814762, -19.918915, -21.584076, -95.799530
1759224929.247274, 8.291270, 13.716980, 2.593220, -2.052726, 0.661979, 2.950125, -20.115891, -24.244110, -95.189667
1759224929.267271, 4.347870, 16.073174, 0.783353, -2.388809, 1.392203, 1.895009, -20.768341, -26.538574, -94.190750
1759224929.287303, 7.201160, 15.114894, 2.008735, -2.506394, 2.336857, 1.705033, -22.036758, -29.025986, -93.182465
1759224929.307222, 6.434567, 14.292935, 0.269348, -1.930748, 3.165544, 2.148090, -24.375458, -31.493591, -91.569031
1759224929.326968, 2.506131, 18.393903, -4.212747, -1.255047, 2.513817, 2.549748, -26.114517, -33.643723, -89.877838
1759224929.346793, 0.750732, 27.664701, -7.879318, -2.667098, 2.647448, 1.765882, -27.897308, -36.047577, -89.356934
1759224929.366394, -2.261174, 15.531635, -13.728053, -1.587844, 0.000958, 1.142402, -28.445404, -37.340591, -89.427612
1759224929.387261, -3.675548, 8.487894, -9.417443, -0.406957, 0.091801, 0.850044, -28.610275, -38.342834, -89.388000
1759224929.407276, -2.235287, 4.046201, -2.855684, 0.060173, 1.129956, 0.470509, -29.197433, -38.389572, -88.843811
1759224929.427262, -2.808099, -0.335787, -4.444536, 0.306332, 0.664176, 0.103276, -29.918930, -38.661331, -87.943893
1759224929.447268, -3.055301, 0.224307, -3.279907, 1.075802, -0.374190, -0.461954, -29.347260, -37.173706, -88.092758
1759224929.467269, -4.275895, 2.644246, -2.080861, 1.368985, -1.363288, -1.003731, -28.298126, -36.228058, -88.144302
1759224929.486447, -0.771681, 7.921067, -0.309750, 1.421759, -1.062607, -1.685751, -26.903442, -34.553848, -88.318939
1759224929.507263, 5.188684, 16.428563, -2.060360, 2.881089, 0.601771, -2.278380, -26.800629, -32.062302, -87.797058
1759224929.527257, 12.160749, 22.566248, -5.869834, 4.306388, 1.871130, -2.241948, -27.086731, -28.114990, -86.254272
1759224929.547312, 18.169297, 20.103812, 2.530821, 3.800648, 0.458636, -0.620122, -27.734818, -25.373520, -85.150757
1759224929.567310, 16.484527, 18.792238, 7.278223, 1.603423, -4.205142, 1.084112, -25.024307, -24.638809, -87.442581
1759224929.586847, 12.675353, 18.504036, 1.265635, -0.209629, -6.817137, 0.334348, -21.334030, -24.480072, -91.958786
1759224929.607262, 11.780370, 18.201320, -4.656423, 0.244819, -2.362520, -1.571993, -19.690887, -23.418137, -93.634262
1759224929.627282, 7.026533, 18.771289, -3.777901, 2.018734, -1.256540, -2.009577, -19.033508, -20.869858, -94.617889
1759224929.647276, 3.234267, 13.475315, 0.680402, 1.948411, -1.881836, -2.323503, -18.401123, -18.181732, -96.276154
